age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,Total_Income,Total_Expense,Savings,Savings_Percent,Overbudget_Flag
19,Non-binary,Freshman,Psychology,958,270,5939,709,296,123,188,41,78,134,127,72,Credit/Debit Card,1228,7707,-6479,-5.276058632,Yes
24,Female,Junior,Economics,1006,875,4908,557,365,85,252,74,92,226,129,68,Credit/Debit Card,1881,6756,-4875,-2.591706539,Yes
24,Non-binary,Junior,Economics,734,928,3051,666,220,137,99,130,23,239,112,133,Cash,1662,4810,-3148,-1.89410349,Yes
23,Female,Senior,Computer Science,617,265,4935,652,289,114,223,99,30,163,105,55,Mobile Payment App,882,6665,-5783,-6.556689342,Yes
20,Female,Senior,Computer Science,810,522,3887,825,372,168,194,48,71,88,71,104,Credit/Debit Card,1332,5828,-4496,-3.375375375,Yes
25,Non-binary,Sophomore,Computer Science,523,790,3151,413,386,122,131,73,38,234,108,99,Mobile Payment App,1313,4755,-3442,-2.621477532,Yes
23,Female,Freshman,Engineering,1354,69,4973,812,398,101,213,21,38,157,117,48,Credit/Debit Card,1423,6878,-5455,-3.833450457,Yes
23,Female,Junior,Economics,631,748,3966,571,269,92,251,37,90,152,56,62,Mobile Payment App,1379,5546,-4167,-3.021754895,Yes
22,Non-binary,Senior,Computer Science,1402,248,5638,599,354,82,155,123,41,162,172,194,Credit/Debit Card,1650,7520,-5870,-3.557575758,Yes
18,Female,Junior,Computer Science,1423,74,3977,626,249,117,123,51,74,243,34,196,Mobile Payment App,1497,5690,-4193,-2.800935204,Yes
23,Male,Junior,Biology,762,615,4093,660,262,58,183,98,21,274,66,50,Credit/Debit Card,1377,5765,-4388,-3.186637618,Yes
25,Male,Freshman,Engineering,1068,19,5138,734,243,200,228,57,57,209,193,146,Credit/Debit Card,1087,7205,-6118,-5.628334867,Yes
21,Male,Sophomore,Economics,719,540,4863,894,280,120,126,41,50,78,113,114,Credit/Debit Card,1259,6679,-5420,-4.305003971,Yes
19,Female,Junior,Biology,1176,859,5201,626,234,50,274,20,77,125,199,103,Mobile Payment App,2035,6909,-4874,-2.395085995,Yes
24,Non-binary,Freshman,Economics,1496,75,5301,657,151,63,92,124,64,196,50,117,Cash,1571,6815,-5244,-3.338001273,Yes
22,Non-binary,Sophomore,Computer Science,1227,26,4175,884,328,167,175,111,96,73,154,109,Cash,1253,6272,-5019,-4.005586592,Yes
23,Female,Freshman,Psychology,1419,237,5450,883,361,200,141,76,22,285,185,76,Cash,1656,7679,-6023,-3.637077295,Yes
21,Female,Freshman,Computer Science,1454,851,3538,754,357,110,188,33,24,50,74,46,Mobile Payment App,2305,5174,-2869,-1.244685466,Yes
19,Female,Sophomore,Psychology,1487,311,4401,883,292,69,51,75,60,105,181,164,Credit/Debit Card,1798,6281,-4483,-2.493325918,Yes
20,Female,Senior,Engineering,1157,401,3131,886,196,131,216,57,39,264,39,174,Mobile Payment App,1558,5133,-3575,-2.294608472,Yes
19,Male,Junior,Psychology,1180,732,4206,597,254,195,67,51,21,97,185,46,Credit/Debit Card,1912,5719,-3807,-1.991108787,Yes
24,Male,Sophomore,Computer Science,516,549,4878,814,286,180,282,55,25,77,73,184,Mobile Payment App,1065,6854,-5789,-5.435680751,Yes
18,Non-binary,Sophomore,Biology,1225,610,4998,473,159,134,294,37,86,159,60,43,Cash,1835,6443,-4608,-2.511171662,Yes
24,Non-binary,Senior,Economics,582,285,4210,421,348,138,143,62,85,218,113,60,Credit/Debit Card,867,5798,-4931,-5.687427912,Yes
19,Female,Senior,Economics,1062,56,4500,731,238,103,76,111,95,238,74,83,Mobile Payment App,1118,6249,-5131,-4.589445438,Yes
25,Female,Junior,Biology,1054,528,5486,789,400,81,211,95,74,237,140,136,Mobile Payment App,1582,7649,-6067,-3.835018963,Yes
20,Male,Senior,Economics,667,690,3541,762,173,185,288,53,38,84,159,137,Credit/Debit Card,1357,5420,-4063,-2.994104643,Yes
20,Female,Junior,Psychology,796,705,5616,664,291,179,260,127,21,113,194,80,Credit/Debit Card,1501,7545,-6044,-4.026648901,Yes
24,Non-binary,Sophomore,Psychology,905,671,4156,444,163,131,141,132,31,156,95,128,Credit/Debit Card,1576,5577,-4001,-2.538705584,Yes
23,Non-binary,Junior,Engineering,531,448,3099,742,394,179,95,64,62,73,104,173,Mobile Payment App,979,4985,-4006,-4.091930541,Yes
23,Non-binary,Freshman,Economics,1426,3,5943,677,296,110,137,146,21,155,105,26,Mobile Payment App,1429,7616,-6187,-4.32960112,Yes
23,Male,Sophomore,Psychology,1465,302,5417,468,113,190,134,119,82,276,165,191,Mobile Payment App,1767,7155,-5388,-3.049235993,Yes
24,Non-binary,Junior,Computer Science,522,555,5236,860,169,133,147,123,48,138,89,150,Credit/Debit Card,1077,7093,-6016,-5.585886722,Yes
25,Female,Freshman,Economics,1338,110,5615,468,325,158,244,98,46,231,183,80,Cash,1448,7448,-6000,-4.143646409,Yes
23,Male,Junior,Biology,1363,365,3222,695,185,166,99,116,68,77,31,161,Mobile Payment App,1728,4820,-3092,-1.789351852,Yes
21,Male,Freshman,Biology,1328,320,3090,718,254,93,204,74,30,228,60,179,Cash,1648,4930,-3282,-1.991504854,Yes
